ref;lat;lon;addr:full;addr:state;addr:ISO3166-2-lvl4;addr:district;addr:municipality;addr:city;addr:road;addr:postcode;fuel:lpg;fuel:diesel;fuel:octane_92;fuel:octane_95;fuel:octane_98;fuel:adblue;toilets;internet_access:wifi;generator;amenity:charging_station;service:coffee;shop;parking;compressed_air;payment:terminal;invincibility_point;amenity:fast_food;name;name:en;name:uk;brand;brand:uk;brand:en;operator;contact:phone;contact:email;contact:website;opening_hours;amenity;brand:wikidata;brand:wikipedia;contact:facebook;contact:instagram;contact:twitter;contact:tiktok;contact:youtube;contact:linkedin
2033;50.3040876;31.2062902;"Київська обл.; с.Бзів; тр.Київ-Харків 57км; ліворуч";Київська область;UA-32;Баришівський;Баришівська селищна громада;с. Бзів;"Харківське шосе; 57 км";07527;;;yes;yes;yes;;yes;yes;yes;;yes;yes;yes;yes;;;yes;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
2025;49.8208266;30.1447373;"Київська обл.; м.Біла Церква; вул.Київська 43-А";Київська область;UA-32;Білоцерківський;Білоцерківська міська громада;м. Біла Церква;вулиця Київська 43а;09100;;;yes;yes;yes;;yes;yes;yes;;yes;yes;;;;;yes;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
2144;50.416927;29.805715;"Київська обл.; с.Калинівка; Макарівський р-н; тр.Київ-Чоп 51;3км; ліва сторона";Київська область;UA-32;Бучанський;Макарівська селищна громада;с. Калинівка;вулиця Київська 49б;08004;;;yes;yes;yes;;yes;;yes;;yes;yes;yes;;yes;;yes;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
2036;50.403656;30.52635;"Київ; пр. Науки; 5";Київська область;UA-30;Голосіївський;Київська міська рада;м. Київ;проспект Науки 5;03028;;;yes;yes;yes;;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
2145;50.4134848;30.3841921;"Київ; вул. Зодчих; 5-А";Київська область;UA-30;Святошинський;Київська міська рада;м. Київ;вулиця Зодчих 5а;03194;;;yes;yes;yes;;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
4005;47.8226;35.0279;"Запоріжжя; вул.Хортицьке шосе; 2а";Запорізька область;UA-23;Запорізький;Запорізька міська громада;м. Запоріжжя;шосе Хортицьке 2а;69123;;;yes;yes;yes;;yes;;yes;;yes;yes;yes;yes;yes;;yes;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
2147;50.3950552382794;30.6092499196529;"Київ; пр. Бажана Миколи; 1-А";Київська область;UA-30;Дарницький;Київська міська рада;м. Київ;проспект Миколи Бажана 1а;02132;;;yes;yes;yes;;yes;yes;yes;;yes;yes;yes;yes;;;yes;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
15004;48.579092;32.935381;"Кіровоградська обл.; п.Нова Прага; вул.Центральна (колишня назва Жовтнева); 129";Кіровоградська область;UA-35;Олександрійський;Новопразька селищна громада;смт. Нова Прага;вулиця Центральна 129;28042;;;yes;yes;yes;;;;;;yes;;;;;;;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
2017;49.42047;30.12823;"Київська обл.; Ставищанський р-н; с. Кривець; а/д Київ-Одеса 127+700м; праворуч";Київська область;UA-32;Білоцерківський;Ставищенська селищна громада;с. Кривець;  б/н;09422;;;yes;yes;yes;;yes;yes;yes;yes;yes;yes;;yes;yes;;yes;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
01/002;49.4382979;28.5258703;"Вінницька обл.; Калинівський р-н; м. Калинівка; вул. Грушевського М.; 5-Б";Вінницька область;UA-05;Хмільницький;Калинівська міська громада;м. Калинівка;вулиця Грушевського М. 5-Б;22403;;yes;yes;yes;yes;;yes;;yes;;yes;;;;;;;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
